scenario	repetition	operation	milliseconds	llm_calls	input_utf16_chars	output_utf16_chars
SUMMARY	0	import_review_activate	36.302958	0	0	0
SUMMARY	0	record_search	16.16575	0	0	0
SUMMARY	0	preview	0.772584	0	0	0
SUMMARY	0	generate_evaluate	47.781791	15	7258	128
SUMMARY	0	review_activate	16.450375	0	0	0
SUMMARY	0	apply	0.651125	1	468	10
SUMMARY	0	package_backup	8.239208	0	0	0
SUMMARY	0	package_restore	31.178458	0	0	0
SUMMARY	0	rollback	7.962041	0	0	0
SUMMARY	0	delete_experience	23.178959	0	0	0
SUMMARY	1	import_review_activate	36.639	0	0	0
SUMMARY	1	record_search	16.38475	0	0	0
SUMMARY	1	preview	0.574792	0	0	0
SUMMARY	1	generate_evaluate	42.485416	15	7258	128
SUMMARY	1	review_activate	15.639917	0	0	0
SUMMARY	1	apply	0.420583	1	468	10
SUMMARY	1	package_backup	9.105667	0	0	0
SUMMARY	1	package_restore	32.212625	0	0	0
SUMMARY	1	rollback	6.711792	0	0	0
SUMMARY	1	delete_experience	24.652083	0	0	0
SUMMARY	2	import_review_activate	37.658292	0	0	0
SUMMARY	2	record_search	16.309792	0	0	0
SUMMARY	2	preview	0.699167	0	0	0
SUMMARY	2	generate_evaluate	44.175959	15	7258	128
SUMMARY	2	review_activate	16.097625	0	0	0
SUMMARY	2	apply	0.406666	1	468	10
SUMMARY	2	package_backup	8.031958	0	0	0
SUMMARY	2	package_restore	32.179667	0	0	0
SUMMARY	2	rollback	6.781667	0	0	0
SUMMARY	2	delete_experience	23.73025	0	0	0
SUMMARY	3	import_review_activate	36.242042	0	0	0
SUMMARY	3	record_search	16.471292	0	0	0
SUMMARY	3	preview	0.6625	0	0	0
SUMMARY	3	generate_evaluate	41.1945	15	7258	128
SUMMARY	3	review_activate	15.865542	0	0	0
SUMMARY	3	apply	0.383458	1	468	10
SUMMARY	3	package_backup	8.154292	0	0	0
SUMMARY	3	package_restore	31.296167	0	0	0
SUMMARY	3	rollback	8.446125	0	0	0
SUMMARY	3	delete_experience	23.546334	0	0	0
SUMMARY	4	import_review_activate	35.273125	0	0	0
SUMMARY	4	record_search	14.432916	0	0	0
SUMMARY	4	preview	0.579375	0	0	0
SUMMARY	4	generate_evaluate	42.344417	15	7258	128
SUMMARY	4	review_activate	15.826334	0	0	0
SUMMARY	4	apply	0.426416	1	468	10
SUMMARY	4	package_backup	9.119208	0	0	0
SUMMARY	4	package_restore	32.366209	0	0	0
SUMMARY	4	rollback	8.733084	0	0	0
SUMMARY	4	delete_experience	22.526958	0	0	0
CHECKLIST	0	import_review_activate	37.428958	0	0	0
CHECKLIST	0	record_search	15.327166	0	0	0
CHECKLIST	0	preview	0.649416	0	0	0
CHECKLIST	0	generate_evaluate	41.292292	15	7056	128
CHECKLIST	0	review_activate	15.808959	0	0	0
CHECKLIST	0	apply	0.380208	1	458	10
CHECKLIST	0	package_backup	8.223792	0	0	0
CHECKLIST	0	package_restore	29.160875	0	0	0
CHECKLIST	0	rollback	8.594958	0	0	0
CHECKLIST	0	delete_experience	24.5255	0	0	0
CHECKLIST	1	import_review_activate	32.848709	0	0	0
CHECKLIST	1	record_search	14.477709	0	0	0
CHECKLIST	1	preview	0.532541	0	0	0
CHECKLIST	1	generate_evaluate	42.293375	15	7056	128
CHECKLIST	1	review_activate	15.849833	0	0	0
CHECKLIST	1	apply	0.5145	1	458	10
CHECKLIST	1	package_backup	8.105542	0	0	0
CHECKLIST	1	package_restore	39.452708	0	0	0
CHECKLIST	1	rollback	8.4985	0	0	0
CHECKLIST	1	delete_experience	23.483458	0	0	0
CHECKLIST	2	import_review_activate	34.282667	0	0	0
CHECKLIST	2	record_search	15.586417	0	0	0
CHECKLIST	2	preview	0.527208	0	0	0
CHECKLIST	2	generate_evaluate	40.397333	15	7056	128
CHECKLIST	2	review_activate	14.000292	0	0	0
CHECKLIST	2	apply	0.40275	1	458	10
CHECKLIST	2	package_backup	8.026083	0	0	0
CHECKLIST	2	package_restore	29.261292	0	0	0
CHECKLIST	2	rollback	7.838625	0	0	0
CHECKLIST	2	delete_experience	23.7035	0	0	0
CHECKLIST	3	import_review_activate	36.570583	0	0	0
CHECKLIST	3	record_search	14.534542	0	0	0
CHECKLIST	3	preview	0.65	0	0	0
CHECKLIST	3	generate_evaluate	41.219584	15	7056	128
CHECKLIST	3	review_activate	16.85725	0	0	0
CHECKLIST	3	apply	0.390209	1	458	10
CHECKLIST	3	package_backup	8.180167	0	0	0
CHECKLIST	3	package_restore	28.380625	0	0	0
CHECKLIST	3	rollback	8.730833	0	0	0
CHECKLIST	3	delete_experience	22.597167	0	0	0
CHECKLIST	4	import_review_activate	32.402792	0	0	0
CHECKLIST	4	record_search	15.5045	0	0	0
CHECKLIST	4	preview	0.538125	0	0	0
CHECKLIST	4	generate_evaluate	60.400083	15	7056	128
CHECKLIST	4	review_activate	15.869583	0	0	0
CHECKLIST	4	apply	0.530916	1	458	10
CHECKLIST	4	package_backup	8.902334	0	0	0
CHECKLIST	4	package_restore	35.366708	0	0	0
CHECKLIST	4	rollback	7.658375	0	0	0
CHECKLIST	4	delete_experience	28.576	0	0	0
CLARIFICATION	0	import_review_activate	52.29125	0	0	0
CLARIFICATION	0	record_search	16.499708	0	0	0
CLARIFICATION	0	preview	0.652083	0	0	0
CLARIFICATION	0	generate_evaluate	43.236709	15	7484	128
CLARIFICATION	0	review_activate	14.71775	0	0	0
CLARIFICATION	0	apply	0.349208	1	492	10
CLARIFICATION	0	package_backup	9.318541	0	0	0
CLARIFICATION	0	package_restore	29.289209	0	0	0
CLARIFICATION	0	rollback	10.628958	0	0	0
CLARIFICATION	0	delete_experience	29.75825	0	0	0
CLARIFICATION	1	import_review_activate	37.378208	0	0	0
CLARIFICATION	1	record_search	14.017959	0	0	0
CLARIFICATION	1	preview	0.652	0	0	0
CLARIFICATION	1	generate_evaluate	44.163459	15	7484	128
CLARIFICATION	1	review_activate	15.000583	0	0	0
CLARIFICATION	1	apply	0.400959	1	492	10
CLARIFICATION	1	package_backup	9.636792	0	0	0
CLARIFICATION	1	package_restore	30.543875	0	0	0
CLARIFICATION	1	rollback	8.245209	0	0	0
CLARIFICATION	1	delete_experience	25.415958	0	0	0
CLARIFICATION	2	import_review_activate	41.78825	0	0	0
CLARIFICATION	2	record_search	16.937666	0	0	0
CLARIFICATION	2	preview	0.687042	0	0	0
CLARIFICATION	2	generate_evaluate	53.296458	15	7484	128
CLARIFICATION	2	review_activate	15.907708	0	0	0
CLARIFICATION	2	apply	0.49025	1	492	10
CLARIFICATION	2	package_backup	9.929125	0	0	0
CLARIFICATION	2	package_restore	30.736417	0	0	0
CLARIFICATION	2	rollback	6.801125	0	0	0
CLARIFICATION	2	delete_experience	23.387958	0	0	0
CLARIFICATION	3	import_review_activate	36.273584	0	0	0
CLARIFICATION	3	record_search	16.500916	0	0	0
CLARIFICATION	3	preview	1.094541	0	0	0
CLARIFICATION	3	generate_evaluate	45.631542	15	7484	128
CLARIFICATION	3	review_activate	14.88375	0	0	0
CLARIFICATION	3	apply	0.508042	1	492	10
CLARIFICATION	3	package_backup	8.076333	0	0	0
CLARIFICATION	3	package_restore	31.16925	0	0	0
CLARIFICATION	3	rollback	7.633125	0	0	0
CLARIFICATION	3	delete_experience	23.61025	0	0	0
CLARIFICATION	4	import_review_activate	35.878875	0	0	0
CLARIFICATION	4	record_search	19.619667	0	0	0
CLARIFICATION	4	preview	0.618833	0	0	0
CLARIFICATION	4	generate_evaluate	43.291125	15	7484	128
CLARIFICATION	4	review_activate	14.716708	0	0	0
CLARIFICATION	4	apply	0.3685	1	492	10
CLARIFICATION	4	package_backup	8.230667	0	0	0
CLARIFICATION	4	package_restore	30.314667	0	0	0
CLARIFICATION	4	rollback	8.594083	0	0	0
CLARIFICATION	4	delete_experience	24.514625	0	0	0
